Key,Source,Context,Changes,English,French,German,Spanish,Polish,Dutch
FeelBatterybank_1,blocks,Electricity,New,"Battery bank 1","Banque de batteries 1","Batteriebank 1","Banco de baterías 1","Banka baterii 1","Batterijbank 1"
FeelBatterybank_2,blocks,Electricity,New,"Battery bank 2","Banque de batteries 2","Batteriebank 2","Banco de baterías 2","Banka baterii 2","Batterijbank 2"
FeelBatterybank_3,blocks,Electricity,New,"Battery bank 3","Banque de batteries 3","Batteriebank 3","Banco de baterías 3","Banka baterii 3","Batterijbank 3"
FeelBatterybox_1,blocks,Electricity,New,"Battery box 1","Boîte à batteries 1","Batteriekasten 1","Caja de baterías 1","Skrzynka na baterie 1","Batterijdoos 1"
FeelBatterybox_2,blocks,Electricity,New,"Battery box 2","Boîte à batteries 2","Batteriekasten 2","Caja de baterías 2","Skrzynka na baterie 2","Batterijdoos 2"
FeelBatterybox_3,blocks,Electricity,New,"Battery box 3","Boîte à batteries 3","Batteriekasten 3","Caja de baterías 3","Skrzynka na baterie 3","Batterijdoos 3"
FeelBatterybox_4,blocks,Electricity,New,"Battery box 4","Boîte à batteries 4","Batteriekasten 4","Caja de baterías 4","Skrzynka na baterie 4","Batterijdoos 4"
FeelBatterybox_5,blocks,Electricity,New,"Battery box 5","Boîte à batteries 5","Batteriekasten 5","Caja de baterías 5","Skrzynka na baterie 5","Batterijdoos 5"
FeelBatterybox_6,blocks,Electricity,New,"Battery box 6","Boîte à batteries 6","Batteriekasten 6","Caja de baterías 6","Skrzynka na baterie 6","Batterijdoos 6"
FeelBatterybox_7,blocks,Electricity,New,"Battery box 7","Boîte à batteries 7","Batteriekasten 7","Caja de baterías 7","Skrzynka na baterie 7","Batterijdoos 7"
FeelBatterybox_8,blocks,Electricity,New,"Battery box 8","Boîte à batteries 8","Batteriekasten 8","Caja de baterías 8","Skrzynka na baterie 8","Batterijdoos 8"
FeelBatterybox_9,blocks,Electricity,New,"Battery box 9","Boîte à batteries 9","Batteriekasten 9","Caja de baterías 9","Skrzynka na baterie 9","Batterijdoos 9"
FeelBatterybankBlockVariantHelper,blocks,Electricity,New,"Battery Bank Tier 1","Banque de batteries Niveau 1","Batteriebank Stufe 1","Banco de baterías Nivel 1","Banka baterii Poziom 1","Batterij Bank Tier 1"
FeelBatteryboxLargeBlockVariantHelper,blocks,Electricity,New,"Battery Bank Tier 2","Banque de batteries Niveau 2","Batteriebank Stufe 2","Banco de baterías Nivel 2","Banka baterii Poziom 2","Batterij Bank Tier 2"
FeelBatteryboxMediumBlockVariantHelper,blocks,Electricity,New,"Battery Bank Tier 3","Banque de batteries Niveau 3","Batteriebank Stufe 3","Banco de baterías Nivel 3","Banka baterii Poziom 3","Batterij Bank Tier 3"
FeelBatteryboxSmallBlockVariantHelper,blocks,Electricity,New,"Battery Bank Tier 4","Banque de batteries Niveau 4","Batteriebank Stufe 4","Banco de baterías Nivel 4","Banka baterii Poziom 4","Batterij Bank Tier 4"
